Date,Open,High,Low,Last,Close,Number of Shares,Number of Trades,Turnover,vwap
2024-11-12,251.9,252.45,250.3,251.3,251.3,3504995,8460,881028374,251.3637
2024-11-11,251.9,254.8,251.15,253.5,253.5,2435737,8559,616319738,253.0321
2024-11-08,253.55,255.5,249.3,250.65,250.65,5187552,11092,1307359403,252.0183
2024-11-07,250,253.2,248.25,249.85,249.85,3705474,9133,928193072,250.4924
2024-11-06,254.05,259.65,247.25,248.5,248.5,6242294,19122,1566150558,250.8936
2024-11-05,260.05,263,258.65,260.4,260.4,3070670,8475,800300731,260.6274
2024-11-04,260,264.45,259.9,260.3,260.3,3501361,8025,914605054,261.2142
2024-11-01,261.1,265.1,259,259,259,4659903,13445,1218298617,261.4429
2024-10-31,269.55,270.9,263.7,264.05,264.05,4006377,9861,1061683648,264.9967
2024-10-30,272.5,274.5,270.15,270.5,270.5,2650171,7284,718677878,271.1817
2024-10-29,272.7,276.2,272,272,272,3172894,8076,866293041,273.0293
2024-10-28,272.5,274.6,270.6,271.5,271.5,3110587,9960,845792099,271.9075
2024-10-25,274.8,282.95,273.75,282.6,282.6,2688768,9053,752800066,279.9814
2024-10-24,269.5,277.85,268.2,274.7,274.7,3088025,9630,846101878,273.9946
2024-10-23,269.95,270.6,265.35,267.55,267.55,2084182,6106,557325996,267.4077
2024-10-22,267.15,270.25,266.4,269.2,269.2,1813479,5186,487194685,268.652
2024-10-21,264.6,270.05,264.45,267.1,267.1,1862887,5877,499029332,267.8796
2024-10-18,268,269.25,263,263,263,1811012,5692,480565043,265.3572
2024-10-17,264.45,267.1,263.7,265.9,265.9,1638627,5654,435370923,265.6925
2024-10-16,266,269,264.65,266,266,1865769,5479,497510030,266.6514
2024-10-15,268.7,269.9,265.05,265.65,265.65,2612951,9032,695484355,266.1682
2024-10-14,273.85,275.75,273,274.5,274.5,2031362,5978,557505193,274.449
2024-10-11,272.95,274.85,271.75,273.85,273.85,2118125,5778,579398595,273.5432
2024-10-10,268.8,272.55,268.5,272.3,272.3,2597432,7385,705049189,271.4411
2024-10-09,271.1,271.7,267.15,267.55,267.55,2768631,10889,744489104,268.8954
2024-10-08,274.65,275.85,271.25,271.25,271.25,2958356,8739,807191417,272.8514
2024-10-07,287.7,290.5,274.6,277.4,277.4,5384731,17619,1505827543,279.6481
2024-10-04,284.3,288.15,283,287.25,287.25,2602468,7434,744407755,286.0434
2024-10-03,282.35,283.65,278.95,282.35,282.35,2332339,7605,655519791,281.0567
2024-10-02,277,283.95,277,282.05,282.05,3403024,11026,958930360,281.7875
2024-10-01,267,273.25,264,271.75,271.75,3208935,9080,864039012,269.2604
2024-09-30,264.45,267.65,263.55,266.7,266.7,2897178,6866,770522761,265.9563
2024-09-27,257.4,263.05,257.2,263,263,2713811,8839,710339712,261.7518
2024-09-26,255.95,259.3,253.25,256.1,256.1,3794658,12667,972786973,256.357
2024-09-25,265.2,266.05,260.95,262.5,262.5,2485800,8436,654329467,263.2269
2024-09-24,268.55,270,266.45,267.1,267.1,2474092,7511,662629189,267.8272
2024-09-23,262.85,267.65,262,267.65,267.65,2275162,7248,603801715,265.3883
2024-09-20,262.6,264.25,259.55,261,261,7421899,8754,1941899451,261.6445
2024-09-19,268.6,271.2,261.9,262,262,4657844,10748,1234709335,265.0816
2024-09-18,265.7,266.65,263.9,265.7,265.7,2218076,6175,589140368,265.6088
2024-09-17,268.05,268.8,265.3,266.7,266.7,2229118,7203,595735957,267.2519
2024-09-16,267.15,269.1,266.35,267.9,267.9,1612733,5754,431690304,267.6762
2024-09-13,267,269.5,266.6,269.1,269.1,2210114,7658,594301349,268.9008
2024-09-12,268,269.9,265.1,266.25,266.25,2180102,7074,582660930,267.2628
2024-09-11,265.1,267.1,264.2,264.35,264.35,2103558,7182,557675027,265.1104
2024-09-10,269.95,271.25,264,264,264,1983091,6797,528419557,266.4626
2024-09-09,269.15,269.85,267.05,269.2,269.2,1844935,6847,495690345,268.6763
2024-09-06,270,270.5,266.8,269.95,269.95,2462263,7625,663122604,269.3147
2024-09-05,271.1,273.1,270.6,272.2,272.2,1748539,6068,475674705,272.0412
2024-09-04,271.5,277.3,270.45,273.1,273.1,2378249,7836,650881576,273.6806
2024-09-03,282.8,283.2,273.5,273.5,273.5,2275890,7456,630265788,276.9316
2024-09-02,282.5,283.95,281.25,281.5,281.5,1568287,4870,442268171,282.0072
2024-08-30,286.2,287.2,279.85,281.5,281.5,7293968,9041,2057377561,282.0657
2024-08-29,279.05,285.35,278.6,284.95,284.95,2638761,9639,747807030,283.3932
2024-08-28,284.15,287.7,282.95,286.25,286.25,2673504,10496,763649727,285.6363
2024-08-27,287.5,289,285.3,285.35,285.35,1356383,5028,388686951,286.5614
2024-08-26,283.95,287.8,282.05,287.25,287.25,1759973,6097,502366937,285.4376
2024-08-23,282.05,283.65,280.4,282.55,282.55,1783631,6600,503191088,282.1181
2024-08-22,282.3,283.5,279.75,280.45,280.45,2139305,9207,601877940,281.3427
2024-08-21,284.45,288,284.05,284.9,284.9,1625292,6133,464037240,285.5101
2024-08-20,288.2,290.15,286.75,287.75,287.75,2023476,6285,583099969,288.1675
2024-08-19,289.65,293.3,287.75,293.3,293.3,1702971,5276,497047399,291.8799
2024-08-16,290.3,292.25,288.6,290.45,290.45,2710241,6821,797249801,294.162
2024-08-15,287.68454,292.5589,287.09962,289.68303,289.68303,2300192,7440,666975900,289.9652
2024-08-14,290.51167,290.95036,287.39208,288.65942,288.65942,1866677,6355,539086047,288.7945
2024-08-13,296.65336,297.04331,289.24434,289.48806,289.48806,2674449,9114,779969871,291.6376
2024-08-12,289.39057,296.84833,288.26947,296.3609,296.3609,2932195,8455,863104187,294.3543
2024-08-09,287.58706,288.80565,285.83229,287.19711,287.19711,2263411,7386,649916131,287.1401
2024-08-08,279.78809,287.48957,279.44688,284.66244,284.66244,4607155,9373,1307201985,283.733
2024-08-07,272.81776,278.52075,272.67152,277.15593,277.15593,3014046,7361,832781088,276.3
2024-08-06,274.42629,275.8886,268.57706,271.50168,271.50168,3389138,10382,919455126,271.2947
2024-08-05,271.79414,272.8665,268.67455,269.99063,269.99063,3235600,10453,874207302,270.184
2024-08-02,279.78809,283.15139,277.83834,277.83834,277.83834,2611739,8856,731679834,280.1504
2024-08-01,284.85742,286.70967,282.51773,282.85893,282.85893,2613405,7102,744546710,284.8952
2024-07-31,280.66547,284.36998,279.10568,282.7127,282.7127,3260909,6951,920863367,282.3947
2024-07-30,278.37452,279.05693,274.7675,275.40116,275.40116,1920429,6719,530220982,276.095
2024-07-29,279.44688,282.46898,278.61824,278.81321,278.81321,2321774,7645,650897979,280.3451
2024-07-26,280.66547,282.51773,277.59462,277.59462,277.59462,2647702,6988,738684187,278.9907
2024-07-25,276.86347,279.64185,274.7675,277.25342,277.25342,2421057,10252,670265446,276.8482
2024-07-24,284.17501,284.80867,279.10568,280.76296,280.76296,2885718,8614,812717948,281.6346
2024-07-23,283.88255,284.66244,281.15291,281.49411,281.49411,1708453,5726,482054599,282.1585
2024-07-22,286.22224,286.75842,282.32275,284.6137,284.6137,1501755,5194,427026218,284.3515
2024-07-19,287.78203,290.12172,286.75842,286.75842,286.75842,1956637,4767,562950954,287.7134
2024-07-18,285.05239,289.97549,284.75993,289.48806,289.48806,1894293,5321,546879250,288.6983
2024-07-17,282.51773,285.24737,281.29914,285.05239,285.05239,1881464,6197,534044740,283.8452
2024-07-16,283.68757,284.9549,279.25191,280.71421,280.71421,1972318,5903,554803182,281.2949
2024-07-15,283.8338,284.22375,280.95793,283.20014,283.20014,1829796,6468,517059529,282.5776
2024-07-12,281.05542,285.44234,280.66547,283.0539,283.0539,2038014,6350,577635769,283.4306
2024-07-11,279.10568,280.71421,276.96096,280.61673,280.61673,2560724,8212,716210756,279.6907
2024-07-10,283.68757,284.07752,280.12929,281.10416,281.10416,2557748,9988,721026054,281.8987
2024-07-09,287.34334,287.53831,284.22375,284.41872,284.41872,1889646,6425,539348596,285.4231
2024-07-08,292.41267,292.46141,283.88255,287.09962,287.09962,3130422,10778,898202199,286.9269
2024-07-05,299.28551,301.13777,295.38603,295.581,295.581,1763706,5088,523922673,297.0577
2024-07-04,298.06692,299.77295,297.04331,298.70059,298.70059,1511569,4644,451221722,298.512
2024-07-03,298.55436,300.45536,296.55587,298.06692,298.06692,2283306,5679,680771490,298.1516
2024-07-02,299.383,302.0639,297.67698,298.55436,298.55436,2305801,7231,690299622,299.3751
2024-07-01,299.43174,300.5041,296.65336,297.82321,297.82321,1671096,5495,498144370,298.0944
2024-06-28,296.7021,300.21164,295.28854,296.31216,296.31216,2507756,5902,744467803,296.8661
2024-06-27,290.41418,296.16592,290.07298,294.41116,294.41116,2311522,7577,679889972,294.1308
2024-06-26,289.04936,293.43628,288.95188,291.24282,291.24282,2303792,6667,671196533,291.3442
2024-06-25,289.48806,292.31518,286.75842,288.85439,288.85439,2218654,6769,641692461,289.2259
2024-06-24,282.7127,287.00213,282.37149,286.56344,286.56344,1609002,5916,459929765,285.8479
2024-06-21,282.27401,286.12475,282.27401,285.53983,285.53983,4595736,7185,1314043487,285.9266
2024-06-20,282.61521,285.58857,281.78657,285.58857,285.58857,2776064,8013,789648082,284.4487
2024-06-19,283.8338,284.46747,280.90919,282.32275,282.32275,2128687,6338,601298065,282.4737
2024-06-18,281.34788,283.68757,279.93432,283.10265,283.10265,3293855,8036,931151434,282.6935
2024-06-17,281.9328,283.4926,280.56798,281.49411,281.49411,2039011,6929,574542876,281.7752
2024-06-14,284.12626,286.12475,282.27401,282.42024,282.42024,2365162,6720,670598732,283.5318
2024-06-13,288.95188,289.5368,283.63883,283.88255,283.88255,2854935,7622,814671388,285.3554
2024-06-12,292.12021,294.11869,290.17047,291.04785,291.04785,2388084,8547,696741482,291.7575
2024-06-11,292.12021,293.87498,289.68303,290.85288,290.85288,2513911,8427,732543643,291.396
2024-06-10,288.80565,292.31518,288.4157,291.63277,291.63277,2070615,5927,602886358,291.1628
2024-06-07,287.6358,290.70664,286.95339,290.6579,290.6579,2141013,6990,619296461,289.2539
2024-06-06,287.09962,289.19559,285.78354,286.90465,286.90465,2181737,7303,626647387,287.2241
